Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Priority,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
5363363,Gestión de Historias Clínicas,gestión de historias clínicass,,,,epic,,,,"Apr 19, 2025",,,,"Conjunto de historias de usuario relacionadas con la carga, filtrado, eliminación y procesamiento de las historias clínicas subidas por el Personal de Salud",https://www.pivotaltracker.com/epic/show/5363363,
5363362,Estadísticas,estadísticass,,,,epic,,,,"Apr 19, 2025",,,,"Conjunto de historias de usuario vinculadas a la generación de reportes estadísticos y generación de gráficos, divididos en secciones.",https://www.pivotaltracker.com/epic/show/5363362,
5363361,Gestión de Organizaciones Sociales,gestión de organizacioness,,,,epic,,,,"Apr 19, 2025",,,,Conjunto de historias de usuario relacionadas con el registro y la administración de organizaciones sociales para el linkeo con cuentas de usuario,https://www.pivotaltracker.com/epic/show/5363361,
5362564,Gestión de Encuestas,gestión de encuestass,,,,epic,,,,"Apr 16, 2025",,,,"Conjunto de historias de usuario relacionadas con la carga, filtrado, y procesamiento de las encuestas recobradas de los csv",https://www.pivotaltracker.com/epic/show/5362564,
5360392,Gestión de Cuentas de Usuario,gestión de cuentas de usuarioo,,,,epic,,,,"Apr 10, 2025",,,,"Conjunto de historias de usuario relacionadas con el registro y la administración de las cuentas de usuario en el sistema.
Operaciones de los usuarios: iniciar sesión, registro y cierre de sesión",https://www.pivotaltracker.com/epic/show/5360392,
189076182,Agregar Organización Social,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,2,p3 - Low,started,"Apr 21, 2025",,,Felix Oyuela,"### ID: Agregar Organización Social

### Titulo

**Como** organización social/administrador
**Quiero** crear una organizacion civil
**Para** que los usuarios se puedan asociar

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Creacion exitosa como administrador
```gherkin
Dado que los datos cargados son válidos
Cuando el administrador completa los campos y selecciona ""Crear""
Entonces el sistema informa ""Organización social creada con éxito"" y la habilita automaticamente y redirige a la página de listado de organizaciones civiles
```
##### Escenario 2: Creacion exitosa como organización social 
```gherkin
Dado que los datos cargados son válidos
Cuando el usuario de organización social completa los campos y selecciona ""Crear""
Entonces el sistema informa ""Organización social creada con éxito, espere la habilitación de un administrador"" y la deshabilita automaticamente y redirige a la página principal del sistema
```
##### Escenario 3: Creación fallida por datos inválidos
```gherkin
Dado que los datos ingresados no son válidos/correctos
Cuando se selecciona ""Crear"" 
Entonces el sistema muestra los campos donde se ingreso información invalida  
```",https://www.pivotaltracker.com/story/show/189076182,teobarrena
189076185,Deshabilitar Organización Social,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,1,p3 - Low,started,"Apr 21, 2025",,,Felix Oyuela,"### ID: Deshabilitar Organización Social

### Titulo

**Como** administrador
**Quiero** eliminar una organizacion social
**Para** que no aparezca en el sistema

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Eliminado exitoso
```gherkin
**Dado** que la organizacion ""ejemplo"" no está eliminada
**Cuando** se selecciona ""Deshabilitar""
**Entonces** el sistema pide una confirmación y en caso positivo deshabilita la organización civil (borrado lógico)
```
##### Escenario 2: Eliminado fallido
```gherkin
**Dado** que la organizacion ""ejemplo"" no está eliminada
**Cuando** se selecciona ""Deshabilitar"" 
**Entonces** el sistema pide una confirmación y en caso negativo no se deshabilita la organización civil 
```",https://www.pivotaltracker.com/story/show/189076185,teobarrena
189076190,Listado de usuarios de una Organización Social,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,1,p3 - Low,started,"Apr 21, 2025",,,Felix Oyuela,"### ID: Listado de usuarios de una Organización Social

### Titulo

**Como** organización civil/administrador
**Quiero** ver el listado de usuarios de la organización
**Para** poder saber quienes son sus usuarios asociados

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Listado exitoso
```gherkin
Dado que la organizacion ""ejemplo"" tiene usuarios asociados 
Cuando se selecciona ""Listar usuarios"" 
Entonces el sistema muestra un listado con los usuarios asociados 
```
##### Escenario 2: Listado fallido por no haber usuarios asociados
```gherkin
Dado que la organizacion ""ejemplo"" no tiene usuarios asociados 
Cuando se selecciona ""Listar usuarios"" 
Entonces el sistema muestra un mensaje ""No tiene usuarios asociados""
 ```",https://www.pivotaltracker.com/story/show/189076190,teobarrena
189091834,Habilitar organización social,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,1,p3 - Low,started,"Apr 30, 2025",,,teobarrena,"### ID: Habilitar organización social

### Titulo

**Como** administrador
**Quiero** habilitar una organización
**Para** que los usuarios se pueden asociar a esa organización

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Habilitación exitosa
```gherkin
Dado que un usuario creo una organización
Cuando el administrador cambia el estado a ""Habilitado"" y selecciona ""Guardar Cambios""
Entonces el sistema guarda el estado de la organización en ""Habilitado"" e informa ""Cambios con éxito""
```",https://www.pivotaltracker.com/story/show/189091834,teobarrena
189076187,Listado de Organizaciones sociales,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,1,p3 - Low,started,"Apr 21, 2025",,,Felix Oyuela,"### ID: Listado de Organizaciones sociales

### Titulo
**Como** administrador
**Quiero** ver el listado de organizaciones
**Para** poder saber cuales son las organizaciones del sistema

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Listado exitoso
```gherkin
**Dado** que hay organizaciones cargadas en el sistema
**Cuando** se selecciona ""Listar organizaciones""
**Entonces** el sistema muestra un listado con las organizaciones 
```
##### Escenario 2: Listado fallido por no haber organizaciones cargadas
```gherkin
**Dado** que no hay organizaciones cargadas en el sistema
**Cuando** se selecciona ""Listar organizaciones"" 
**Entonces** el sistema muestra un mensaje ""No hay organizaciones cargadas"" 
```",https://www.pivotaltracker.com/story/show/189076187,teobarrena
189076184,Modificar Organización Social,gestión de organizacioness,1,"Apr 28, 2025","May 4, 2025",feature,2,p3 - Low,started,"Apr 21, 2025",,,Felix Oyuela,"### ID: Modificar Organización Social

### Titulo
**Como** administrador
**Quiero** modificar los datos de una organización civil
**Para** poder actualizar sus datos

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Modificación exitosa
```gherkin
**Dado** que los datos modificados tienen un formato válido
**Cuando** se selecciona ""Editar"" 
**Entonces** el sistema informa ""Cambios realizados con éxito"" y redirige a la página de listado de organizaciones civiles
```
##### Escenario 2: Modificación fallida
```gherkin
**Dado** que los datos modificados no tienen un formato válido
**Cuando** se selecciona ""Editar"" 
**Entonces** el sistema informa que campos tienen errores
```",https://www.pivotaltracker.com/story/show/189076184,teobarrena
189076263,Mostrar todas las estadísticas,estadísticass,,,,feature,0,p3 - Low,unscheduled,"Apr 21, 2025",,,Felix Oyuela,"### ID: Mostrar todas las estadísticas

### Titulo

**Como** usuario
**Quiero** ver las estadisticas
**Para** obtener datos

### Reglas de negocio
* -

### Criterios de aceptación
##### Escenario 1: Vista exitosa
```gherkin
Dado que tengo permisos para ver las estadísticas
Cuando se selecciona la página de Estadísticas
Entonces el sistema muestra las estadísticas 
```
##### Escenario 2: Vista fallada por falta de permisos
```gherkin
Dado que no tengo permisos para ver las estadísticas
Cuando se selecciona la página de Estadísticas 
Entonces el sistema informa que necesitas permisos adicionales para consultar las estadísticas
```",https://www.pivotaltracker.com/story/show/189076263,
